"","Site","Pass","Length","Weight"
"1","Site1",1,28,0.1
"2","Site1",2,30,0.2
"3","Site1",3,69,3.2
"4","Site1",2,32,0.3
"5","Site1",2,28,0.2
"6","Site1",2,213,88
"7","Site1",1,30,0.5
"8","Site1",1,30,0.2
"9","Site1",2,62,2.5
"10","Site1",1,61,2
"11","Site1",1,32,0.3
"12","Site1",3,30,0.1
"13","Site1",2,28,0.2
"14","Site1",2,55,1.9
"15","Site1",3,54,1.5
"16","Site1",1,22,0.1
"17","Site1",1,80,5
"18","Site1",2,56,2.2
"19","Site1",1,30,0.2
"20","Site1",1,85,5.9
"21","Site1",3,26,0.1
"22","Site1",1,55,1.9
"23","Site1",3,29,0.3
"24","Site1",1,129,22.5
"25","Site1",3,33,0.3
"26","Site1",1,30,0.5
"27","Site1",1,35,0.3
"28","Site1",1,72,4.7
"29","Site1",2,67,3.5
"30","Site1",3,62,2.1
"31","Site1",1,71,3.3
"32","Site1",2,60,2.3
"33","Site1",2,33,0.3
"34","Site1",3,29,0.1
"35","Site1",3,59,2
"36","Site1",2,30,0.2
"37","Site1",3,30,0.2
"38","Site1",2,91,7.7
"39","Site1",1,28,0.1
"40","Site1",2,33,0.3
"41","Site1",1,57,1.8
"42","Site1",2,33,0.3
"43","Site1",1,59,2.2
"44","Site1",1,63,2.4
"45","Site1",2,33,0.3
"46","Site1",3,30,0.1
"47","Site1",3,30,0.4
"48","Site1",3,26,0.1
"49","Site1",3,51,1.3
"50","Site1",2,70,4.2
"51","Site1",1,74,4.7
"52","Site1",3,53,1.8
"53","Site1",1,32,0.3
"54","Site1",1,32,0.3
"55","Site1",1,30,0.5
"56","Site1",2,26,0.1
"57","Site1",2,32,0.3
"58","Site1",2,26,0.1
"59","Site1",2,32,0.2
"60","Site1",2,28,0.2
"61","Site1",1,32,0.3
"62","Site1",1,75,4
"63","Site1",2,33,0.3
"64","Site1",2,58,2.4
"65","Site1",2,58,5.4
"66","Site1",2,33,0.3
"67","Site1",1,155,35.9
"68","Site1",1,57,1.7
"69","Site1",2,26,0.1
"70","Site1",1,78,5.8
"71","Site1",1,238,113.9
"72","Site1",2,156,34.7
"73","Site1",2,70,3.8
"74","Site1",1,32,0.3
"75","Site1",2,28,0.2
"76","Site1",2,28,0.2
"77","Site1",1,30,0.2
"78","Site1",2,57,2
"79","Site1",1,32,0.2
"80","Site1",2,177,53.5
"81","Site1",1,32,0.3
"82","Site1",1,85,5.8
"83","Site1",2,35,0.4
"84","Site1",3,28,0.1
"85","Site1",2,78,4.9
"86","Site1",2,33,0.3
"87","Site1",1,35,0.3
"88","Site1",2,80,4.9
"89","Site1",3,29,0.1
"90","Site1",2,32,0.3
"91","Site1",2,32,0.3
"92","Site1",3,31,0.3
"93","Site1",2,26,0.1
"94","Site1",2,68,3.8
"95","Site1",1,30,0.2
"96","Site1",3,29,0.1
"97","Site1",2,32,0.3
"98","Site1",1,55,1.8
"99","Site1",3,33,0.5
"100","Site1",1,32,0.3
"101","Site1",1,32,0.4
"102","Site1",2,32,0.3
"103","Site1",1,35,0.3
"104","Site1",2,28,0.2
"105","Site1",1,71,4
"106","Site1",1,204,74.9
"107","Site1",1,66,3.3
"108","Site1",3,94,9.2
"109","Site1",2,70,3.9
"110","Site1",1,56,2
"111","Site1",1,28,0.1
"112","Site1",2,89,5.9
"113","Site1",2,32,0.3
"114","Site1",1,30,0.5
"115","Site1",1,57,2.1
"116","Site1",1,69,3.9
"117","Site1",2,64,2.9
"118","Site1",1,30,0.2
"119","Site1",1,28,0.1
"120","Site1",1,70,3.4
"121","Site1",2,30,0.2
"122","Site1",3,34,0.5
"123","Site1",3,55,1.3
"124","Site1",1,23,0.1
"125","Site1",2,78,3.9
"126","Site1",2,28,0.2
"127","Site1",3,79,5.6
"128","Site1",1,30,0.5
"129","Site1",1,30,0.5
"130","Site1",1,36,0.5
"131","Site1",1,79,5.4
"132","Site1",2,59,2.5
"133","Site1",1,71,3.7
"134","Site1",1,71,3.9
"135","Site1",3,78,4.9
"136","Site1",1,65,2.9
"137","Site1",3,32,0.2
"138","Site1",1,60,2.5
"139","Site1",2,32,0.3
"140","Site1",3,32,0.3
"141","Site1",2,64,3.2
"142","Site1",2,65,3.1
"143","Site1",2,30,0.2
"144","Site1",3,31,0.1
"145","Site1",1,32,0.3
"146","Site1",3,36,0.4
"147","Site1",1,28,0.1
"148","Site1",3,69,3.1
"149","Site1",1,83,5.6
"150","Site1",1,28,0.1
"151","Site2",2,34,0.5
"152","Site2",1,32,0.3
"153","Site2",2,66,2.3
"154","Site2",1,36,0.6
"155","Site2",2,74,4.4
"156","Site2",1,88,24.2
"157","Site2",1,96,14.7
"158","Site2",1,73,4.6
"159","Site2",1,69,4.1
"160","Site2",2,67,3
"161","Site2",1,63,3.3
"162","Site2",1,37,0.6
"163","Site2",1,69,3.2
"164","Site2",1,113,6.6
"165","Site2",2,81,6.5
"166","Site2",2,25,0.2
"167","Site2",3,67,3.3
"168","Site2",1,76,5.9
"169","Site2",3,64,5.7
"170","Site2",3,36,0.6
"171","Site2",3,22,0.1
"172","Site2",3,72,3.6
"173","Site2",1,26,0.3
"174","Site2",1,35,0.5
"175","Site2",3,30,0.2
"176","Site2",1,28,0.1
"177","Site2",1,64,3.5
"178","Site2",1,70,5.9
"179","Site2",1,79,3.8
"180","Site2",1,81,5.4
"181","Site2",3,77,5.9
"182","Site2",1,66,2.8
"183","Site2",1,81,5.4
"184","Site2",1,66,3.3
"185","Site2",2,81,5.9
"186","Site2",1,80,5.2
"187","Site2",3,68,2.7
"188","Site2",1,87,7.7
"189","Site2",2,83,6.4
"190","Site2",3,143,28.5
"191","Site2",1,79,6.3
"192","Site2",3,171,9.3
"193","Site2",1,83,6.5
"194","Site2",1,80,3.8
"195","Site2",1,35,0.5
"196","Site2",1,62,2.2
"197","Site2",1,122,17.5
"198","Site2",1,136,35.1
"199","Site2",1,30,0.5
"200","Site2",2,73,4.5
"201","Site2",1,68,4.5
"202","Site2",1,33,0.4
"203","Site2",1,66,6.1
"204","Site2",2,36,0.6
"205","Site2",1,83,5.3
"206","Site2",2,75,5.3
"207","Site2",1,126,19.6
"208","Site2",1,87,8.8
"209","Site2",1,75,6.5
"210","Site2",2,34,0.4
"211","Site2",1,90,8.3
"212","Site2",1,51,1.4
"213","Site2",2,26,0.2
"214","Site2",2,75,4.3
"215","Site2",1,32,0.4
"216","Site2",3,31,0.3
"217","Site2",3,34,0.4
"218","Site2",1,144,29.5
"219","Site2",1,73,3.9
"220","Site2",1,82,6.7
"221","Site2",3,76,5
"222","Site2",1,61,2.1
"223","Site2",2,67,3.5
"224","Site2",1,42,0.7
"225","Site2",1,32,0.4
"226","Site2",2,77,6.1
"227","Site2",1,64,2.4
"228","Site2",1,155,6.6
"229","Site2",1,160,40.2
"230","Site2",1,69,5.8
"231","Site2",1,34,0.4
"232","Site2",2,73,4.7
"233","Site2",2,72,4.2
"234","Site2",2,63,2.9
"235","Site2",2,26,0.2
"236","Site2",1,118,17.6
"237","Site2",1,106,11.5
"238","Site2",1,51,3.4
"239","Site2",1,79,6.6
"240","Site2",2,68,4.4
"241","Site2",2,34,0.6
"242","Site2",2,70,4.5
"243","Site2",1,42,0.7
"244","Site2",2,80,6.3
"245","Site2",1,74,4
"246","Site2",1,33,0.4
"247","Site2",1,78,6.4
"248","Site2",2,63,3
"249","Site2",1,38,0.5
"250","Site2",2,34,0.4
